FEETCHK | Module | 2 | 6 |  Diabetes 
FEETCHK2 | Module | 2 | 3 |  Diabetes 
FLSHTMY2 | Core | 14 | 2 |  Immunization 
FLUSHOT6 | Core | 14 | 1 |  Immunization 
FMONTH | Record Identification |  | 2 | Record Identification 
FRUIT1 | Core | 10 | 2 |  Fruits & Vegetables 
FRUITJU1 | Core | 10 | 1 |  Fruits & Vegetables 
FRUTDA1_ | Core | 10 | 2 |  Calculated Variables 
FTJUDA1_ | Core | 10 | 1 |  Calculated Variables 
FVBEANS | Core | 10 | 3 |  Fruits & Vegetables 
FVGREEN | Core | 10 | 4 |  Fruits & Vegetables 
FVORANG | Core | 10 | 5 |  Fruits & Vegetables 
GENHLTH | Core | 1 | 1 |  Health Status 
GRENDAY_ | Core | 10 | 4 |  Calculated Variables 
HADHYST2 | Module | 14 | 7 |  Breast and Cervical Cancer Screening 
HADMAM | Module | 14 | 1 |  Breast and Cervical Cancer Screening 
HADPAP2 | Module | 14 | 3 |  Breast and Cervical Cancer Screening 
HADSGCO1 | Module | 16 | 4 |  Colorectal Cancer Screening 
HADSIGM3 | Module | 16 | 3 |  Colorectal Cancer Screening 
HAREHAB1 | Module | 9 | 1 |  Cardiovascular Health 
HAVARTH3 | Core | 6 | 9 |  Chronic Health Conditions 
HEIGHT3 | Core | 7 | 14 |  Demographics 
HHADULT | Record Identification |  | 26 | Record Identification 
HIVTST6 | Core | 15 | 1 |  HIV/AIDS 
HIVTSTD3 | Core | 15 | 2 |  HIV/AIDS 
HLTHPLN1 | Core | 3 | 1 |  Health Care Access 
HOWLONG | Module | 14 | 2 |  Breast and Cervical Cancer Screening 
HPLSTTST | Module | 14 | 6 |  Breast and Cervical Cancer Screening 
HPVADSHT | Module | 12 | 2 |  Adult Human Papilloma Virus (HPV) - Vaccination 
HPVADVC2 | Module | 12 | 1 |  Adult Human Papilloma Virus (HPV) - Vaccination 
HPVTEST | Module | 14 | 5 |  Breast and Cervical Cancer Screening 
HTIN4 | Core | 6 | 17 |  Calculated Variables 
HTM4 | Core | 6 | 18 |  Calculated Variables 
IDATE | Record Identification |  | 3 | Record Identification 
IDAY | Record Identification |  | 5 | Record Identification 
IMFVPLAC | Core | 14 | 3 |  Immunization 
IMONTH | Record Identification |  | 4 | Record Identification 
INCOME2 | Core | 7 | 11 |  Demographics 
INSULIN | Module | 2 | 1 |  Diabetes 
INTERNET | Core | 7 | 12 |  Demographics 
IYEAR | Record Identification |  | 6 | Record Identification 
JOINPAIN | Core | 12 | 4 |  Arthritis Burden 
LADULT | Record Identification |  | 15 | Record Identification 
LANDLINE | Record Identification |  | 25 | Record Identification 
LASTPAP2 | Module | 14 | 4 |  Breast and Cervical Cancer Screening 
LASTSIG3 | Module | 16 | 5 |  Colorectal Cancer Screening 
LASTSMK2 | Core | 8 | 4 |  Tobacco Use 
LENGEXAM | Module | 15 | 2 |  Clinical Breast Exam for Breast Cancer Screening 
LMTJOIN3 | Core | 12 | 1 |  Arthritis Burden 
LONGWTCH | Module | 7 | 2 |  Sodium or Salt-Related Behavior 
LSATISFY | Module | 24 | 2 |  Emotional Support and Life Satisfaction 
LSTBLDS3 | Module | 16 | 2 |  Colorectal Cancer Screening 
MARITAL | Core | 7 | 2 |  Demographics 
MAXDRNKS | Core | 9 | 4 |  Alcohol Consumption 
MAXVO2_ | Core | 11 | 4 |  Calculated Variables 
MEDCOST | Core | 3 | 3 |  Health Care Access 
MENTHLTH | Core | 2 | 2 |  Healthy Days — Health Related Quality of Life 
METVL11_ | Core | 11 | 2 |  Calculated Variables 
METVL21_ | Core | 11 | 3 |  Calculated Variables 
MISTMNT | Module | 25 | 9 |  Anxiety and Depression 
MSCODE | Questionnaire Language |  | 4 | Questionnaire Language 
NUMADULT | Record Identification |  | 16 | Record Identification 
NUMHHOL2 | Core | 7 | 5 |  Demographics 
NUMMEN | Record Identification |  | 17 | Record Identification 
NUMPHON2 | Core | 7 | 6 |  Demographics 
NUMWOMEN | Record Identification |  | 18 | Record Identification 
ORNGDAY_ | Core | 10 | 5 |  Calculated Variables 
PA1MIN_ | Core | 11 | 18 |  Calculated Variables 
PA1VIGM_ | Core | 11 | 21 |  Calculated Variables 
